origin,destination
421,151
191,243
100,17
56,69
46,118
41,16
46,17
46,69
29,17
341,337
522,530
610,151
527,545
82,68
54,82
134,136
897,881
119,96
112,5
114,38
114,5
48,17
85,69
48,5
58,34
101,17
101,38
101,16
730,734
733,69
725,69
69,5
458,151
410,458
397,151
438,151
411,151
485,151
398,490
474,485
383,151
432,151
435,151
461,151
410,151
387,151
410,397
387,835
427,415
385,151
471,151
443,151
443,400
420,151
442,421
400,490
477,490
200,243
264,211
211,151
203,151
263,151
258,151
207,151
222,741
222,79
54,69
51,68
69,151
51,38
16,17
16,69
69,79
41,69
17,69
24,69
69,243
96,38
56,100
100,41
100,118
46,100
100,5
100,69
41,118
41,17
100,16
16,100
100,819
41,18
118,100
41,151
93,17
42,75
42,69
16,68
877,882
899,891
900,906
890,891
873,906
891,881
906,891
875,906
334,650
341,881
341,912
326,881
328,642
847,741
864,545
864,151
522,545
522,698
749,792
799,804
787,792
804,792
799,186
610,608
640,652
640,642
640,628
269,734
269,730
274,270
280,274
290,67
270,730
278,274
301,297
554,151
556,698
545,541
537,545
589,136
625,647
644,650
647,650
635,657
712,734
712,730
712,910
712,709
712,18
717,709
719,709
712,848
716,709
715,878
714,730
714,871
711,69
711,709
711,734
711,274
770,738
770,792
770,151
770,741
758,741
817,504
817,167
817,160
144,133
144,136
54,68
51,82
76,68
81,82
44,68
138,133
139,136
129,133
139,133
134,172
453,151
889,881
909,891
883,881
911,881
897,727
897,891
881,650
892,881
900,642
897,337
885,891
881,906
881,642
885,881
882,881
894,881
912,891
912,881
894,891
894,906
896,906
882,730
873,730
871,730
907,709
882,734
873,734
907,730
895,881
871,709
596,151
608,151
593,151
602,593
423,243
423,151
436,151
388,400
424,407
383,407
253,243
199,243
850,848
850,151
855,846
101,912
101,100
101,96
119,17
101,68
101,118
101,51
101,69
116,48
7,5
20,100
114,82
114,17
85,34
85,17
48,69
9,69
9,98
18,100
37,34
37,41
48,100
98,48
48,278
48,82
62,266
62,69
41,68
41,133
41,38
41,817
41,848
119,41
29,69
63,69
67,69
16,38
100,38
35,68
45,68
54,17
61,34
62,34
62,5
63,82
81,48
67,96
67,17
68,82
68,103
93,69
18,69
93,100
93,288
93,283
93,16
26,96
48,93
97,82
97,68
98,273
118,17
118,133
275,851
288,283
269,727
269,291
271,285
732,283
273,288
665,657
733,730
730,274
728,730
730,650
730,642
733,151
723,906
723,284
284,730
730,907
734,730
727,730
730,69
722,734
734,274
731,721
291,721
721,734
725,274
778,792
778,243
237,151
760,792
910,891
899,906
891,642
880,891
890,881
899,893
893,881
906,881
718,878
267,734
267,284
852,835
290,270
290,730
24,17
15,17
69,17
24,5
5,98
69,545
15,100
57,93
69,57
38,69
281,151
882,642
714,709
722,727
391,151
432,397
479,151
476,151
464,490
398,466
398,151
410,404
385,407
455,490
420,432
400,243
186,468
264,243
251,243
251,151
216,243
198,257
509,504
30,502
32,109
51,17
69,100
69,82
73,503
100,172
17,100
100,709
56,17
118,16
100,82
29,5
49,111
878,709
905,912
891,906
877,906
872,906
910,906
328,337
530,550
548,530
544,545
783,792
735,792
799,792
601,407
610,593
610,612
610,490
609,615
615,151
272,406
163,160
160,172
274,722
270,878
270,714
280,714
290,274
287,711
278,67
270,274
284,274
537,527
551,522
589,133
635,648
666,650
624,650
714,901
782,741
129,136
44,65
82,100
146,136
406,151
900,881
873,709
886,848
871,647
871,727
886,642
896,734
901,730
895,891
896,881
613,151
613,602
598,151
128,127
614,151
436,464
303,297
303,544
302,556
123,122
854,848
829,483
840,835
846,855
846,863
846,842
846,848
101,45
6,17
101,41
104,17
41,100
44,82
41,82
46,110
46,86
61,283
19,34
7,100
85,5
17,93
18,17
17,66
96,17
96,41
96,906
98,5
110,5
110,642
117,69
119,16
287,727
291,731
288,273
285,266
285,273
287,267
287,291
728,642
730,284
271,730
730,258
722,730
730,5
730,709
728,886
721,291
778,799
889,642
890,642
897,730
888,881
881,897
893,910
893,900
901,912
767,792
274,730
8,24
8,666
16,41
69,16
8,893
8,712
24,100
69,93
281,275
882,650
438,429
401,490
407,598
410,423
415,151
452,151
429,151
471,397
384,545
487,151
458,420
420,429
420,410
442,151
490,151
202,151
202,243
244,203
257,264
252,151
252,243
225,151
821,167
354,369
101,93
59,68
100,46
118,35
46,151
100,151
100,173
93,82
41,274
56,41
99,46
902,891
902,906
341,897
897,341
331,881
864,272
783,799
272,151
169,136
269,709
280,270
306,530
302,297
321,308
311,321
337,274
337,650
366,369
527,555
541,545
556,545
647,638
650,645
647,643
650,703
650,707
650,704
650,655
685,676
714,710
710,709
712,716
712,274
753,741
770,735
782,758
807,741
861,848
830,837
132,136
150,136
68,69
68,17
63,46
143,167
897,642
892,642
889,891
897,899
873,719
901,734
894,730
618,593
598,554
552,857
296,531
436,428
474,434
474,151
474,243
294,544
231,317
231,310
127,321
850,851
834,848
847,272
847,151
96,16
20,101
20,56
114,44
20,274
20,69
114,68
118,69
25,10
373,34
16,118
48,41
45,69
46,38
266,274
54,93
61,17
106,5
62,68
62,17
81,69
68,371
92,68
90,118
93,108
98,69
110,100
110,69
110,96
117,68
117,82
730,733
730,291
733,712
730,380
269,725
730,290
728,650
728,734
899,881
890,700
910,881
899,876
900,730
890,730
892,899
888,891
877,709
317,320
96,69
805,792
732,730
609,600
8,100
64,17
38,100
69,119
8,62
17,68
51,100
871,642
714,270
407,151
208,243
890,906
906,872
610,453
615,605
272,79
284,151
278,730
291,730
712,650
149,133
138,136
898,906
896,891
896,730
610,617
101,46
4,68
114,27
36,82
36,68
19,69
62,288
62,283
62,271
62,48
66,17
93,14
266,282
273,98
724,719
733,274
734,721
734,727
24,41
47,69
69,42
69,38
719,730
5,273
119,69
69,118
51,69
107,5
287,721
711,374
139,351
881,879
894,900
101,63
101,119
6,46
112,34
15,20
289,286
650,644
650,647
650,665
17,82
399,476
456,151
389,407
482,407
410,452
451,407
404,151
412,470
402,151
400,186
205,240
204,452
185,151
204,151
570,360
69,103
69,68
730,34
69,817
69,509
69,496
41,93
56,16
93,15
100,45
56,274
29,96
900,876
905,650
890,897
906,900
334,337
341,892
553,530
793,776
790,776
789,738
774,741
799,204
652,642
640,623
169,589
291,906
284,16
287,902
608,617
666,642
650,619
716,243
770,788
788,690
803,770
758,771
144,143
63,68
146,133
139,169
463,151
460,151
453,397
913,517
809,159
897,906
897,890
882,895
882,901
882,912
912,906
871,714
602,617
436,423
436,203
303,551
201,243
101,48
101,151
114,41
27,16
98,41
98,100
266,882
110,266
110,106
119,6
9,118
15,5
42,34
8,5
8,34
37,17
37,85
37,5
48,24
48,18
62,114
93,41
56,96
56,38
5,17
55,68
106,48
18,41
17,5
95,68
98,27
110,38
110,27
107,24
112,371
115,96
117,16
665,642
722,69
733,734
727,734
291,727
730,287
269,882
725,267
778,741
880,890
338,891
338,881
893,886
290,642
908,734
57,69
8,151
8,69
47,57
8,901
8,731
8,37
488,404
434,424
899,883
453,389
481,438
466,262
461,410
384,387
443,399
478,490
202,401
251,218
43,16
69,115
69,811
100,758
56,151
100,817
18,38
42,47
903,881
891,872
903,882
903,906
774,792
795,741
615,601
272,589
160,136
640,657
287,734
287,269
293,297
314,321
519,151
524,545
598,396
625,650
647,642
690,681
693,690
689,690
670,685
903,709
712,711
788,741
848,846
144,589
82,69
68,44
453,417
909,906
909,872
900,891
897,902
912,730
886,724
593,612
598,490
296,544
424,406
424,151
854,846
847,848
840,410
119,100
106,18
48,38
5,100
69,51
78,41
68,54
68,67
17,16
93,5
288,69
271,278
276,273
724,730
721,380
723,730
761,792
715,891
715,906
16,51
437,151
8,877
8,48
8,85
8,889
8,728
8,892
8,885
8,891
8,278
8,873
69,98
24,98
481,151
461,833
404,389
429,410
443,490
442,389
420,458
202,476
821,502
12,109
28,12
5,54
69,698
57,5
69,848
56,338
54,100
56,650
100,650
104,75
13,109
878,885
890,715
750,792
780,792
601,602
615,397
155,167
290,41
509,503
509,510
545,555
550,545
551,530
670,690
711,650
788,792
129,809
139,129
129,139
130,819
885,906
346,369
907,871
907,650
295,556
231,320
219,260
846,854
846,838
846,852
101,291
101,896
5,69
34,288
29,41
41,172
45,82
68,709
7,41
62,100
93,101
112,377
118,5
274,278
269,724
271,273
284,291
284,287
734,878
720,709
730,714
824,827
849,848
280,712
437,411
57,100
8,871
8,54
899,892
864,447
453,424
403,151
398,465
487,453
483,490
458,397
210,490
182,243
204,398
208,257
208,151
249,251
189,243
217,243
362,684
109,12
28,109
64,69
73,109
93,114
56,487
100,487
877,650
905,886
903,912
910,898
326,889
737,767
640,655
696,680
684,565
172,138
288,266
270,490
291,69
503,817
527,524
537,548
658,650
650,708
636,650
700,698
698,699
714,720
712,271
770,782
753,684
756,782
782,788
821,136
82,93
82,17
453,461
897,900
901,222
886,290
436,216
436,185
436,476
252,461
236,243
101,54
101,56
9,113
37,114
62,41
62,16
41,26
44,69
45,44
46,16
48,59
48,51
35,69
57,42
61,69
117,5
665,650
290,709
891,650
911,891
892,709
454,387
886,650
886,905
8,93
8,46
176,243
893,892
205,257
29,18
29,118
775,776
886,730
602,403
598,429
436,243
301,698
101,602
101,27
27,68
2,68
37,69
7,69
66,69
77,69
117,115
119,38
119,51
286,272
642,665
727,527
38,5
649,640
640,650
461,837
291,734
602,320
90,69
640,649
731,374
731,380
15,69
775,793
396,598
399,490
398,243
394,419
402,490
210,483
203,490
257,243
495,109
43,17
69,266
17,46
17,61
100,18
33,45
100,274
100,813
100,81
100,98
49,31
42,906
325,881
326,900
284,41
647,620
647,664
624,651
782,738
782,774
773,741
65,68
65,82
892,906
908,901
882,891
894,341
894,892
606,612
445,403
308,321
436,225
295,530
6,67
101,97
20,17
69,54
37,56
41,10
48,290
41,98
93,73
67,38
93,121
117,17
118,10
650,642
650,637
650,643
650,663
650,628
650,666
722,906
733,906
730,728
723,721
723,372
723,727
889,650
119,68
418,151
843,851
864,843
438,430
410,461
461,184
384,615
197,243
203,208
208,474
494,495
496,820
69,813
69,96
51,151
69,321
69,2
17,42
46,34
100,336
49,75
878,287
905,899
326,885
789,741
799,243
806,186
696,684
291,709
503,109
650,648
712,151
885,892
901,906
882,906
127,122
297,296
421,490
436,394
295,297
199,236
101,725
106,274
37,46
51,383
93,410
48,266
101,509
110,51
291,723
638,642
638,665
728,69
871,734
724,269
733,290
813,822
893,890
267,730
801,186
609,611
69,41
8,139
899,903
287,719
391,383
398,428
461,842
384,410
391,435
47,41
38,17
56,118
49,40
329,650
765,792
686,690
278,41
284,727
307,321
324,342
647,706
788,756
770,778
753,788
758,735
848,837
136,133
587,133
909,899
909,910
896,873
302,701
203,398
853,851
840,422
6,5
101,8
101,204
101,613
101,19
101,385
101,443
5,93
5,41
18,67
97,17
101,42
271,274
273,285
720,730
730,374
730,879
721,730
899,642
835,846
24,6
24,16
16,117
8,886
8,875
407,192
415,490
412,151
400,483
193,243
201,193
39,507
71,12
514,12
100,9
100,714
100,47
56,24
56,48
100,48
100,899
100,10
100,20
18,16
906,883
795,738
776,793
